	c_beta
GSM1896914	0.7849919369070548
GSM1896915	0.7993125341822704
GSM1896916	0.7898081118481497
GSM1896917	0.8104111570650401
GSM1896918	0.805208072392888
GSM1896919	0.7717605598615092
GSM1896920	0.8039363442252392
GSM1896921	0.8046728359103601
GSM1896922	0.7838508931324303
GSM1896923	0.7956993826342601
GSM1896924	0.8054115538579006
GSM1896925	0.7854217893446233
GSM1896926	0.7896133423552892
GSM1896927	0.815041643045412
GSM1896928	0.7764428200428191
GSM1896929	0.7847576239383527
GSM1896930	0.7552500344068138
GSM1896931	0.8100511709008101
GSM1896932	0.8051480614659958
GSM1896933	0.7562765990051198
GSM1896934	0.7709282470204044
GSM1896935	0.7706841257225786
GSM1896936	0.7676699329186234
GSM1896937	0.7731833004391622
GSM1896938	0.7941673830747484
GSM1896939	0.7765099725692901
GSM1896940	0.8071655062950339
GSM1896941	0.8149135947103686
GSM1896942	0.7980076703978395
GSM1896943	0.7581944317768862
GSM1896944	0.792141778176134
GSM1896945	0.8156007139886684
GSM1896946	0.7853734811250188
GSM1896947	0.8016846588341195
GSM1896948	0.7889913415399368
GSM1896949	0.7984384407749578
GSM1896951	0.7916602267346416
GSM1896954	0.7805234676202185
GSM1896956	0.810292971896774
GSM1896959	0.8011848218821669
GSM1896962	0.8011790373550356
GSM1896965	0.8042705957476105
GSM1896968	0.8036080883108511
GSM1896971	0.7861980898714529
GSM1896975	0.7982184014464062
GSM1896978	0.7925692792796445
GSM1896980	0.7853194426161114
GSM1896983	0.7740745232940844
GSM1896984	0.7699835942819185
GSM1896985	0.803822503627031
GSM1896986	0.7880434455248699
GSM1896987	0.792176295140921
GSM1896988	0.7830857049786255
GSM1896989	0.7408993637726051
GSM1896990	0.785838061377093
GSM1896991	0.792639356558626
GSM1896992	0.7990189433912839
GSM1896993	0.7944219120671294
GSM1896994	0.7637407681912377
GSM1896995	0.7962300613923826
GSM1896996	0.7869391973092768
GSM1896997	0.8033728245222516
GSM1896998	0.8022399829759008
GSM1896999	0.7727224463506936
GSM1897000	0.7790016331821978
GSM1897001	0.7936672185330227
GSM1897002	0.7997556107130601
GSM1897003	0.7791114491092415
GSM1897004	0.7959176484633874
GSM1897005	0.8052588340660877
GSM1897006	0.7824418630777996
GSM1897007	0.7675811299797979
GSM1897008	0.8345599999432679
GSM1897009	0.81176523660724
GSM1897010	0.7829081357007306
GSM1897011	0.7987451278623202
GSM1897012	0.7894828303210114
GSM1897013	0.7918938035090866
GSM1897014	0.7897890962640853
GSM1897015	0.8015671795879141
GSM1897016	0.7914484588042139
GSM1897017	0.7967843422013039
GSM1897018	0.7969103268722982
GSM1897019	0.7835119712204632
GSM1897020	0.8029443780839949
GSM1897021	0.7916288419373038
GSM1897022	0.7628930250033551
GSM1897023	0.7575533531333316
GSM1897024	0.7827059495343015
GSM1897025	0.7520283366645351
GSM1897026	0.7898922932481884
GSM1897027	0.7957596980429561
GSM1897028	0.8057722360481716
GSM1897029	0.7934490260433416
GSM1897030	0.7846032611557767
GSM1897031	0.7999582915661645
GSM1897032	0.8230900078249628
GSM1897033	0.7847880874908939
GSM1897034	0.8071029538608752
GSM1897035	0.7832094106529299
GSM1897036	0.7836236678262376
GSM1897037	0.8017364139772101
GSM1897038	0.8016070978391544
GSM1897039	0.7522433890720774
GSM1897040	0.7961554043116658
