"Tumor","psi_1_mean","psi_1_lower","psi_1_upper","psi_2_mean","psi_2_lower","psi_2_upper","psi_3_mean","psi_3_lower","psi_3_upper","X_mean","X_lower","X_upper","N_mean","N_lower","N_upper","phi_mean","phi_lower","phi_upper"
"GSM1896914",0.69226777025811,0.656357585097551,0.727054943960649,0.245236320299199,0.210665946384243,0.281414357194957,0.0624959094426903,0.0444905970857627,0.0828150240966919,0.176489582864768,0.168266848366184,0.184780040253431,20.6125814662042,18.108269739442,23.1915593848439,0.217730681183466,0.205138606417144,0.230668709187147
"GSM1896915",0.242193756167942,0.204344160472318,0.284860433514371,0.384167971554139,0.293808557466977,0.456997855618256,0.373638272277918,0.31748783019861,0.441288091124139,0.269233372162768,0.251172443836076,0.293224389294723,20.3182425217371,15.8355751221796,24.577546103303,0.387126299634223,0.348923993719977,0.441486949898826
"GSM1896916",0.421557884130325,0.379358295071003,0.464002519422139,0.407469295752706,0.343966231521671,0.471420479061318,0.170972820116969,0.128823666206621,0.21381682317478,0.245929188846172,0.231435898921047,0.26041883533138,20.3144650776384,17.1052987593118,23.6394250479141,0.338712243728686,0.310759237681252,0.367857923592565
"GSM1896917",0.628029163082703,0.589901158096806,0.667653798379831,0.351015247531228,0.310897829036078,0.389830412799505,0.0209555893860686,0.00959799940749747,0.034792174460131,0.202473372710436,0.193029492701179,0.212019791811337,21.9548715643574,19.3225623072505,24.7499578378332,0.259619414810991,0.243928211442325,0.275858171141458
"GSM1896918",0.271932559910598,0.233699765355377,0.313984388694243,0.407715244836568,0.326911798763827,0.474736208398022,0.320352195252834,0.269279230296825,0.379584544344762,0.273656282516329,0.25679633851037,0.294879097028225,22.7259370203288,17.8279636118069,27.3791133076509,0.396730174911824,0.360354446507139,0.445504261690573
"GSM1896919",0.332191705889364,0.293952473981725,0.371471780230229,0.500333192353305,0.449427531180731,0.553526660415492,0.167475101757331,0.132597688817312,0.204593977276783,0.209642838792456,0.195325205855976,0.224575210211914,19.3657417917755,16.1994391935148,22.4834633083549,0.271913004348513,0.247681569685625,0.29814675122071
"GSM1896920",0.295263350356048,0.252738344665247,0.341408505119542,0.441707846454404,0.362044641229956,0.512703636405844,0.263028803189548,0.215095120941308,0.316466386954822,0.272338252207755,0.254862409843587,0.294031296500426,21.1935198638933,16.7204591821629,25.7486105778894,0.393873354009976,0.356394226520871,0.443441933415271
"GSM1896921",0.281764731800684,0.244480668535094,0.320397536978087,0.465863755686665,0.407548034045402,0.523921780777515,0.252371512512651,0.209435539523389,0.296182451784595,0.256160086135151,0.24137566520767,0.272106410910781,22.775418219755,18.5206396141988,27.0576258361331,0.359310075438706,0.329615767253105,0.392864646466944
"GSM1896922",0.295520254704611,0.255776805641176,0.335952546978531,0.376319149543328,0.313976704406953,0.436224862487462,0.328160595752062,0.28374342411369,0.375455996582721,0.253448174277258,0.239245948711522,0.269231442273933,21.3923516875909,17.6831965548123,25.1526521099093,0.353760733371376,0.325515233874851,0.386596402405954
"GSM1896923",0.303565947747707,0.263092745259199,0.349080459125158,0.36303493696935,0.284188930088399,0.430396879163845,0.333399115282943,0.284765132735842,0.387916448440945,0.270243346483939,0.254616065673023,0.289498498492359,21.919648503455,17.7541192435823,26.0634549305892,0.389160394065823,0.355892017793943,0.432557656160705
"GSM1896924",0.265960281325639,0.227070616779466,0.307243605849895,0.467255701843247,0.395990853879257,0.533478978919353,0.266784016831114,0.217839512939815,0.318092924803214,0.267537848288098,0.250137058897218,0.287976795065792,22.1083133516065,17.4934587436176,26.6421170474866,0.383372436312538,0.346847783307542,0.428956186272515
"GSM1896925",0.436534687038146,0.395738281084632,0.476821751847773,0.459820543865429,0.407479037875171,0.511609789560376,0.103644769096425,0.0749787458215805,0.135607919521539,0.216715880397275,0.203447715456928,0.230334033940113,19.3839653568336,16.5457637557678,22.3562835501902,0.284227847048348,0.261192278215666,0.308712034042663
