"Tumor","psi_1_mean","psi_1_lower","psi_1_upper","psi_2_mean","psi_2_lower","psi_2_upper","psi_3_mean","psi_3_lower","psi_3_upper","X_mean","X_lower","X_upper","N_mean","N_lower","N_upper","phi_mean","phi_lower","phi_upper"
"TARGET.30.PAIFXV.01A",0.0640858066113153,0.0276889070525235,0.17150161736075,0.813861555994424,0.443173396378747,0.905903691782907,0.122052637394261,0.0602507872168989,0.390533186135734,0.231433544900234,0.154477649867137,0.433435697764222,15.8589029176594,10.20855883973,19.2368898912408,0.340262077149254,0.184775384776233,1.00821983729157
"TARGET.30.PAISNS.01A",0.59071330118003,0.558412160645217,0.621879524486471,0.228348136211034,0.199546767995696,0.258088491185966,0.180938562608936,0.156474179580283,0.207127037171409,0.18348455088704,0.177064426115535,0.189838991587523,25.0753114338922,22.5339235563372,27.7597527636393,0.228644565831654,0.218577628376552,0.238758276910342
"TARGET.30.PAITCI.01A",0.139341071918327,0.100392755676317,0.179997836112795,0.458075662205573,0.396193451540322,0.518242720536044,0.402583265876099,0.36521036902854,0.440121600343102,0.174577570862388,0.156760507939983,0.192044082949511,12.9466193692812,11.0849999298334,14.8300217735603,0.214928467312561,0.188089833661756,0.242325726077529
"TARGET.30.PAIVHE.01A",0.404529450677134,0.346032137956952,0.461901190799688,0.19579338156243,0.117232140029496,0.275954734591133,0.399677167760436,0.357330693384542,0.442617385184891,0.276351447115685,0.261629454973965,0.290877193706289,16.1121999861608,13.9655516090602,18.3598530875474,0.402546059267729,0.370390861813389,0.435843214549621
"TARGET.30.PAIVMJ.01A",0.417166166276421,0.33504077111095,0.508030324030448,0.345812938687121,0.206838700792102,0.467100234850903,0.237020895036458,0.184738708737382,0.2982707753939,0.310011061523563,0.281708890591366,0.336720229074759,16.0228338491941,12.9810082567078,19.5943875598685,0.485219047287148,0.414389281107392,0.559571491457765
"TARGET.30.PAIVZR.01A",0.382920696014178,0.350286218651864,0.416457330299939,0.224541455813348,0.191964418711734,0.258691914810095,0.392537848172475,0.359703370352275,0.425782071924004,0.209200843008893,0.201664902491787,0.216914519352363,22.3986634770426,19.9013071297394,25.0306857470348,0.271031768322149,0.258195377706547,0.284429597315721
"TARGET.30.PAIXFZ.01A",0.605676665350811,0.564451134943648,0.64739547773219,0.322622176363436,0.276640449978358,0.366908407681757,0.0717011582857536,0.0525489211085974,0.0929950010140879,0.272660230502675,0.262893191676164,0.283010589524544,26.5082887209076,22.6677286135441,30.4997487190603,0.394210691820965,0.373048695581374,0.417379772950057
"TARGET.30.PAKHAV.01A",0.38066137649773,0.319221445526138,0.452255206723358,0.338823770445043,0.231176650742675,0.421761326926481,0.280514853057227,0.240046313657458,0.330564557565555,0.268127435934778,0.247307699993509,0.293077439814465,16.1460110493953,13.130679769206,19.3323399081733,0.384858650280629,0.341217777709232,0.44113174026814
"TARGET.30.PAKINP.01A",0.243141891835862,0.211665101039858,0.275344730602215,0.276367466855157,0.236916682545242,0.316390604018759,0.480490641308982,0.445266140937849,0.515000110224502,0.190017662712752,0.180365772632895,0.199791174389436,17.5187176587132,15.4494089609935,19.697898162017,0.239108862608509,0.223715397958493,0.25506489027893
"TARGET.30.PAKYZS.01A",0.136387179483004,0.0959249375952933,0.179178055624171,0.250355706969663,0.145966333613155,0.360667265536568,0.613257113547333,0.52675481245022,0.693945625146845,0.323087193722851,0.302322179316459,0.341792058053021,13.4171367771486,11.4130619660395,15.669362644326,0.520289258794253,0.463984780684499,0.575348921215848
"TARGET.30.PAKZRH.01A",0.57565720608388,0.523864341025349,0.632818880344307,0.360532420679707,0.296511695357186,0.417228488640086,0.063810373236413,0.043721272320552,0.0870680148480115,0.273465430236435,0.259206687629967,0.290286502281959,20.2407323774936,16.6326545626601,23.9999634987159,0.396159175319405,0.365334579018303,0.434432897902805
"TARGET.30.PALBFW.01A",0.221372086605762,0.134505873963604,0.327280434070253,0.522778660453485,0.356173104419655,0.654638304359246,0.255849252940753,0.200558670886852,0.322995609781919,0.280427129772963,0.24566957482376,0.32499877450153,15.8907499545197,11.9676698606878,19.7431884808876,0.413577507589224,0.337986898915184,0.524907561438264
"TARGET.30.PALCBW.01A",0.0899146430409824,0.0721992124545329,0.109294133981283,0.267546868974552,0.235990840433611,0.299280813736532,0.642538487984465,0.610293321991782,0.673950798552561,0.159183683176624,0.151894324051545,0.166558195822427,20.2666445470411,18.1151267652261,22.5197360987549,0.191662833661244,0.181050999113297,0.202569874257303
"TARGET.30.PALEAC.01A",0.434475863301438,0.388321038654453,0.48480729310515,0.378030742656409,0.314456125812146,0.437172153169744,0.187493394042153,0.15731098666945,0.220697308433217,0.235095652503991,0.2195638634926,0.253229981071822,16.3208175220398,13.5685823842788,19.0686429388596,0.317886495686966,0.28913103837316,0.353075646499932
"TARGET.30.PALFSE.01A",0.0532019820721814,0.024487976338699,0.0872911043709145,0.292975238050897,0.165749683772586,0.415033048450537,0.653822779876921,0.546281514948169,0.764049573436595,0.337288410153861,0.310233968934121,0.360440084657457,13.1610280833497,11.1829408505371,15.6612233667409,0.562891860877323,0.48440810027014,0.638057044538713
"TARGET.30.PALHVD.01A",0.336700463956223,0.307180700387209,0.366381637334307,0.24130867430461,0.213743338845998,0.269104883244645,0.421990861739168,0.390872400865755,0.453601509320492,0.11455537639473,0.108802564067939,0.120311569214213,22.2578270296418,20.1286777632387,24.4679965106114,0.130120021383978,0.122697857325522,0.13762855050359
"TARGET.30.PALIIN.01A",0.738970432015367,0.708787622462116,0.767790415263506,0.167306422549511,0.140924741933713,0.194995718724964,0.0937231454351216,0.0756199280716045,0.113219828523593,0.192548130294673,0.186732565243309,0.198580975162814,27.6601708585346,24.7682536941254,30.7052068224339,0.243168996205387,0.233775424276018,0.253053346337911
"TARGET.30.PALKXJ.01A",0.238716709731339,0.202223212830748,0.276486844103544,0.495376051254468,0.43710841365146,0.552228930318702,0.265907239014193,0.228416040698891,0.305311382153281,0.208877151148763,0.191551055174198,0.227975562622353,15.1224151584446,12.6527078620432,17.6379478205142,0.270684429239013,0.241525881887577,0.304358096465451
"TARGET.30.PALNVP.01A",0.475758584518576,0.438457507199542,0.514592150617147,0.226477161008278,0.183828883575708,0.268563144983309,0.297764254473146,0.266151555590989,0.329025992991187,0.22086867632037,0.211070117760544,0.231518802142449,17.6879843616311,15.3362103108975,20.0262537423422,0.291550815385081,0.274212030906355,0.310913606765682
"TARGET.30.PALSAE.01A",0.683839739980587,0.654938947874657,0.711950273542867,0.164741633677863,0.14117145937595,0.18941296572749,0.15141862634155,0.129626775567219,0.174080421758446,0.119433288823701,0.114494970872734,0.124347434314032,25.4600265283742,23.1124156007174,28.0361266493353,0.13648414570684,0.130026929891187,0.142971704820163
"TARGET.30.PALVVH.01A",0.702576108487887,0.664893190273834,0.740937219721702,0.208241117026639,0.167287217729475,0.247827588365945,0.0891827744854744,0.0697305875298316,0.109959354708742,0.23565843220283,0.225856972011962,0.245659355465294,18.8377163962969,16.3604556845757,21.4512396929137,0.318774438011949,0.300479064140646,0.337966804843519
"TARGET.30.PALXTB.01A",0.0187847477735852,0.00913912890969337,0.0306624774680545,0.427129263544035,0.388381936128621,0.465902797795439,0.55408598868238,0.51610185057129,0.591922212962081,0.183196934782353,0.171716937989899,0.195484982012185,16.3789058445629,14.2989400375927,18.4667462347069,0.228252699098254,0.210365934135055,0.247943846178538
"TARGET.30.PALZZV.01A",0.175594739173952,0.151992687816271,0.20007491936654,0.221262786401121,0.192165096079382,0.250989387355931,0.603142474424928,0.57049040182359,0.635611972535565,0.117951508915195,0.11096372685886,0.124827630434149,17.3643266999169,15.6046295850239,19.2362031121831,0.134551521681452,0.125467756000916,0.143611262942021
"TARGET.30.PAMCXF.01A",0.0702314059137585,0.0530747655638633,0.0896231068649857,0.210324093259796,0.177795263419599,0.243889731071389,0.719444500826446,0.686680388186157,0.751388392353578,0.160672511046815,0.15209576469039,0.169229398843262,15.8005916761474,14.0582472337266,17.6417023037724,0.193861497437726,0.181340421208031,0.20659150566391
"TARGET.30.PAMLNB.01A",0.080527020141305,0.0633065992090234,0.0995715003368327,0.213789576162334,0.184971050920641,0.243580543059815,0.705683403696361,0.674645153163104,0.735591773366426,0.166034851120139,0.159437679792785,0.172836414109647,20.76242004192,18.5967409412627,23.0335971663255,0.201811980804579,0.192004982021119,0.212073894980149
"TARGET.30.PAMMXF.01A",0.237380014543709,0.211288432343987,0.264857653822278,0.260659986393653,0.231076990501793,0.291419375835486,0.501959999062638,0.469234528606248,0.533683597274023,0.134198471599156,0.127384392959838,0.140908585302811,19.8664879524231,17.858329559705,21.957288507179,0.156281441282502,0.147030377142051,0.165515552672432
