NAME,PrettyName
APICAL_JUNCTION,Apical Junction
APICAL_SURFACE,Apical Surface
PEROXISOME,Peroxisomes
ADIPOGENESIS,Adipogenesis
ANGIOGENESIS,Angiogenesis
EPITHELIAL_MESENCHYMAL_TRANSITION,Epithelial Mesenchymal Transition
MYOGENESIS,Myogenesis
SPERMATOGENESIS,Spermatogenesis
PANCREAS_BETA_CELLS,Pancreas Beta Cells
DNA_REPAIR,DNA Repair
UV_RESPONSE_DN,UV Response Down
UV_RESPONSE_UP,UV Response Up
ALLOGRAFT_REJECTION,Allograft Rejection
COAGULATION,Coagulation
COMPLEMENT,Complement
INTERFERON_ALPHA_RESPONSE,Interferon Alpha Response
INTERFERON_GAMMA_RESPONSE,Interferon Gamma Response
IL6_JAK_STAT3_SIGNALING,IL6 JAK STAT3 signaling
INFLAMMATORY_RESPONSE,Inflammatory Response
BILE_ACID_METABOLISM,Bile Acide Metabolism
CHOLESTEROL_HOMEOSTASIS,Cholesterol Homeostasis
FATTY_ACID_METABOLISM,Fatty Acid Metabolism
GLYCOLYSIS,Glycolysis
HEME_METABOLISM,Heme Metabolism
OXIDATIVE_PHOSPHORYLATION,Oxidative Phosphorylation
XENOBIOTIC_METABOLISM,Xenobiotic Metabolism
APOPTOSIS,Apoptosis
HYPOXIA,Hypoxia
PROTEIN_SECRETION,Protein Secretion
UNFOLDED_PROTEIN_RESPONSE,Unfolded Protein Response
REACTIVE_OXYGEN_SPECIES_PATHWAY,Reactive Oxygen Species Pathway
E2F_TARGETS,E2F Targets
G2M_CHECKPOINT,G2/M Checkpoint
MYC_TARGETS_V1,MYC Targets Variant 1
MYC_TARGETS_V2,MYC Targets Variant 2
P53_PATHWAY,p53 Pathway
MITOTIC_SPINDLE,Mitotic Spindle
ANDROGEN_RESPONSE,Androgen Response
ESTROGEN_RESPONSE_EARLY,Estrogen Response Early
ESTROGEN_RESPONSE_LATE,Estrogen Response Late
IL2_STAT5_SIGNALING,IL2 JAK STAT5 Signaling
KRAS_SIGNALING_UP,KRAS Signaling Up
KRAS_SIGNALING_DN,KRAS Signaling Down
MTORC1_SIGNALING,mTORC1 Signaling
NOTCH_SIGNALING,Notch Signaling
PI3K_AKT_MTOR_SIGNALING,PI3K AKT mTOR Signaling
HEDGEHOG_SIGNALING,Hedgehog Signaling
TGF_BETA_SIGNALING,TGF Beta Signaling
TNFA_SIGNALING_VIA_NFKB,TNFA Signaling via NFkB
WNT_BETA_CATENIN_SIGNALING,WNT Beta Catenin Signaling
